age,monthly_income,years_at_company,years_in_current_role,job_satisfaction,work_life_balance,performance_rating,distance_from_home,num_companies_worked,total_working_years,gender,overtime,department,attrition
26,95452,2.0,0.1,1,1,2,14,6,8.4,Male,No,Sales,Yes
52,82823,2.6,1.7,3,2,1,24,7,32.4,Male,No,Support,No
50,141392,4.6,0.7,2,1,4,1,7,19.4,Female,No,Engineering,Yes
55,40806,0.1,3.5,4,4,1,22,2,4.6,Male,Yes,Support,No
36,95520,1.6,0.2,1,3,3,23,5,0.3,Female,No,Engineering,Yes
33,21759,14.5,0.5,2,1,5,19,3,3.6,Female,No,Finance,No
50,146092,3.5,2.6,1,4,5,18,2,14.0,Male,No,Support,No
39,61949,1.2,1.8,2,1,2,12,4,9.7,Female,No,Finance,Yes
37,112374,3.0,0.1,2,1,5,28,2,4.9,Male,No,Finance,Yes
39,22482,1.7,4.2,1,4,5,28,4,0.5,Female,No,Sales,Yes
48,44442,3.0,4.2,4,1,5,33,7,4.5,Female,No,Support,No
46,53719,0.5,0.8,4,1,3,19,6,5.1,Male,No,Engineering,Yes
57,78066,0.6,0.8,3,3,5,28,2,21.1,Female,No,Engineering,No
46,113501,0.6,9.0,2,4,5,37,4,8.2,Female,No,Support,Yes
43,22079,11.2,2.0,3,4,5,26,2,3.0,Female,No,Sales,No
29,22717,5.3,1.5,3,2,1,35,6,6.0,Female,No,Sales,No
32,79676,0.7,3.6,1,1,3,34,7,0.5,Female,No,Sales,Yes
21,47952,0.8,0.7,1,3,2,35,2,28.8,Female,No,Engineering,Yes
21,106444,5.2,1.1,1,1,1,16,1,3.6,Female,No,Finance,Yes
54,62460,0.7,0.6,2,1,4,38,4,5.2,Female,Yes,Sales,Yes
52,110397,1.1,3.1,1,2,3,13,6,3.5,Male,No,Engineering,Yes
45,92847,13.2,1.7,1,1,3,23,4,9.2,Male,No,Engineering,Yes
21,113607,1.2,2.2,2,3,4,22,4,8.7,Female,Yes,Finance,Yes
36,109106,4.3,0.6,2,3,4,16,0,10.1,Female,No,Support,No
59,38449,15.4,0.5,4,2,4,28,6,2.5,Male,Yes,Support,Yes
25,53536,1.9,1.3,1,1,2,35,2,3.0,Female,Yes,Sales,Yes
42,84077,0.1,2.7,1,3,5,8,4,1.1,Male,Yes,Sales,Yes
49,58258,1.1,1.5,1,1,3,22,5,8.5,Male,No,Finance,Yes
23,68302,7.1,0.1,4,1,5,21,0,0.3,Male,No,Sales,No
32,145937,8.0,4.1,1,1,5,26,1,7.3,Female,No,Finance,Yes
46,48865,5.9,0.1,4,2,4,21,4,16.3,Female,No,Engineering,No
36,26645,0.5,6.2,3,1,2,25,7,17.7,Female,No,Sales,Yes
57,139771,6.3,0.1,4,3,1,1,4,4.8,Male,No,Engineering,No
42,58000,10.0,2.4,3,1,2,6,0,4.9,Male,No,HR,Yes
49,46737,3.7,0.2,1,3,5,23,2,0.6,Male,No,Finance,No
34,31485,11.3,4.8,3,1,2,23,5,8.9,Female,Yes,HR,Yes
48,58565,7.0,1.2,4,3,4,23,7,13.8,Male,Yes,Sales,Yes
25,45522,4.4,0.3,2,3,1,32,1,2.2,Male,No,Engineering,No
50,139614,3.4,0.8,3,1,4,30,7,4.4,Female,No,Sales,No
25,85155,1.7,0.4,3,1,1,13,4,14.6,Male,Yes,HR,Yes
32,75168,0.7,0.4,1,3,5,18,2,16.8,Male,Yes,Sales,Yes
36,72487,3.7,5.9,4,4,1,23,6,2.2,Female,No,Support,No
46,149948,1.5,1.2,3,2,1,15,5,6.4,Female,No,HR,No
46,32342,8.1,3.1,3,4,1,33,6,1.7,Male,No,Sales,No
41,60806,20.0,2.0,3,4,2,21,5,0.9,Female,No,Engineering,No
59,68770,5.6,2.3,3,1,2,39,1,19.4,Male,No,Sales,Yes
56,98623,0.4,0.3,2,2,5,23,3,13.7,Female,No,Engineering,Yes
53,123177,1.4,0.5,4,4,1,27,5,11.4,Male,No,Support,No
50,119785,0.5,3.1,1,1,3,18,3,0.4,Female,Yes,Sales,Yes
57,95629,4.2,7.1,1,4,5,24,6,14.8,Male,No,Support,No
43,140993,5.8,0.6,2,4,1,7,5,4.6,Female,Yes,HR,Yes
30,72603,10.4,0.6,4,1,1,20,1,3.4,Female,Yes,Engineering,Yes
25,146944,2.3,1.3,3,1,2,27,0,6.3,Female,No,HR,No
56,132726,9.3,8.3,2,1,5,6,1,0.8,Female,No,Engineering,Yes
54,101974,8.4,0.6,4,2,1,27,1,11.3,Female,No,Support,No
51,125947,1.5,1.0,3,4,1,9,0,7.0,Female,Yes,Finance,No
30,46399,8.1,4.4,2,1,5,31,0,1.7,Female,No,Sales,Yes
39,148177,1.9,0.0,4,3,3,21,2,1.7,Male,No,Support,No
52,105382,1.4,0.1,1,4,5,26,5,1.6,Male,No,Engineering,Yes
21,101244,4.2,1.9,1,3,5,13,6,0.5,Female,Yes,Engineering,No
25,129575,1.6,4.8,4,2,3,23,2,7.1,Female,No,Engineering,Yes
24,135520,4.0,0.5,1,1,5,20,0,14.7,Male,No,Engineering,Yes
36,130904,3.8,1.3,4,3,1,37,3,0.1,Male,Yes,Sales,No
44,96534,3.3,1.2,3,2,5,28,6,0.4,Female,No,HR,Yes
36,75106,1.9,1.3,4,1,3,17,3,6.8,Male,No,Finance,Yes
22,132599,3.2,1.9,3,3,4,28,1,13.7,Male,Yes,Sales,Yes
48,50678,3.6,1.3,2,3,5,2,4,3.2,Female,Yes,Engineering,No
52,96218,3.2,1.2,4,2,2,25,1,3.4,Female,Yes,Sales,No
47,83230,2.4,1.3,2,1,1,6,1,7.3,Female,No,Support,Yes
40,134684,0.1,1.8,1,1,1,11,4,2.6,Male,Yes,Engineering,Yes
44,94055,3.5,1.5,3,3,2,38,5,0.2,Female,No,Finance,No
32,76373,0.7,3.9,4,3,2,6,0,10.6,Female,No,Engineering,No
55,51480,4.1,0.1,2,3,5,11,3,7.9,Male,No,Finance,No
53,105230,5.7,3.6,3,1,2,14,1,7.0,Female,Yes,Finance,Yes
53,88836,2.8,3.7,3,2,4,2,4,10.8,Male,Yes,HR,Yes
57,92258,3.1,0.7,1,2,3,3,2,9.0,Male,No,HR,Yes
32,59986,12.1,1.2,1,1,2,35,1,1.8,Male,No,Sales,Yes
23,44160,7.5,1.2,3,4,2,33,3,3.5,Male,No,Sales,No
21,105595,9.8,0.5,3,2,4,24,0,1.1,Male,Yes,Finance,Yes
53,121358,6.7,1.0,4,3,1,19,1,1.1,Male,No,Engineering,No
30,99111,0.5,0.1,3,4,1,18,1,9.0,Female,No,Support,No
49,84929,0.6,0.7,4,4,5,24,5,15.6,Female,Yes,Support,No
33,93506,3.0,3.4,3,2,4,35,7,26.3,Female,No,Engineering,No
32,54911,1.1,0.7,1,4,3,1,4,7.9,Male,No,Engineering,Yes
51,107127,2.6,3.4,4,4,3,36,2,1.6,Female,Yes,HR,No
22,51821,2.0,1.5,2,2,4,25,2,0.9,Male,No,Support,Yes
55,95039,3.2,4.2,1,2,3,34,6,13.4,Female,No,Finance,Yes
43,80535,5.5,1.7,4,4,1,25,0,6.9,Male,Yes,Sales,No
37,133453,5.0,0.1,4,3,3,16,6,7.7,Female,No,HR,No
46,104458,2.9,2.3,2,1,3,34,3,12.2,Male,No,Support,Yes
28,32175,6.9,0.1,4,4,4,29,0,9.7,Female,No,Engineering,No
49,139235,2.3,1.2,3,4,4,19,1,14.4,Male,Yes,Support,No
46,74771,9.1,5.3,2,3,3,23,7,0.5,Female,No,Finance,No
30,126660,0.3,0.4,1,4,2,19,1,11.0,Male,No,HR,Yes
46,147157,12.4,1.0,1,4,4,25,2,15.2,Female,No,Engineering,No
54,141300,4.3,2.6,3,1,5,16,3,2.7,Female,Yes,Finance,Yes
27,106925,1.9,4.3,1,1,5,9,4,8.2,Female,No,Sales,Yes
24,133374,0.9,2.2,4,1,1,1,3,3.0,Male,No,HR,No
31,86358,2.6,0.6,4,2,3,19,1,25.4,Male,No,Finance,No
49,37327,0.9,2.2,3,2,2,33,4,0.3,Male,No,Finance,Yes
56,67057,0.7,0.7,1,1,1,34,3,6.9,Male,Yes,Engineering,Yes
45,26150,3.8,2.5,1,1,3,16,7,1.5,Male,Yes,Sales,Yes
41,24425,3.0,6.2,3,2,4,18,7,10.0,Female,No,Finance,No
56,143654,4.4,2.6,2,3,5,34,3,1.5,Male,Yes,HR,Yes
30,36032,10.6,4.0,1,4,2,25,4,2.1,Female,No,Finance,No
57,22198,3.0,0.0,2,4,5,6,1,5.5,Female,Yes,Support,No
29,80500,3.5,2.5,1,1,4,21,3,19.7,Male,No,HR,Yes
44,73394,0.4,3.5,1,3,3,6,4,1.9,Female,No,HR,Yes
55,40079,5.1,0.1,1,2,4,32,5,1.2,Male,No,Finance,Yes
55,56220,2.0,4.1,1,1,4,39,7,11.4,Male,No,Engineering,Yes
56,61874,15.0,0.6,4,3,5,31,5,5.6,Male,Yes,HR,No
38,33859,6.9,2.2,2,3,2,10,1,19.4,Female,No,Support,No
59,70460,3.0,3.2,2,3,4,30,4,1.3,Male,Yes,Engineering,Yes
52,51419,0.5,2.2,1,2,5,18,5,8.3,Male,No,Engineering,Yes
44,138865,7.8,0.2,1,2,2,24,4,2.1,Male,No,Engineering,Yes
43,28705,6.4,1.8,2,4,3,9,3,1.4,Female,No,HR,No
52,62880,0.8,1.6,4,4,3,31,1,9.2,Male,No,Engineering,No
57,149838,1.4,4.6,3,3,1,15,5,7.2,Female,No,Finance,No
32,43236,6.3,1.0,3,3,5,4,6,11.2,Female,No,Engineering,No
33,107955,0.8,0.8,2,2,2,9,3,3.0,Male,No,Support,Yes
43,105514,10.0,2.8,1,4,4,9,7,4.8,Female,No,Sales,No
45,123145,2.2,1.1,1,3,3,26,6,4.2,Female,Yes,Support,Yes
55,35358,0.4,2.1,4,4,2,4,6,33.1,Male,No,HR,No
50,119713,6.8,2.1,3,4,5,17,0,2.8,Male,No,Engineering,No
37,114914,1.9,4.4,4,3,1,16,0,2.8,Male,Yes,Engineering,Yes
40,122870,3.0,1.8,3,2,3,15,1,3.5,Female,Yes,Finance,No
45,96918,0.5,1.4,2,3,2,35,5,6.7,Male,Yes,Engineering,Yes
42,139179,0.0,0.3,3,3,2,5,5,2.3,Female,No,Support,Yes
33,136243,4.1,0.2,4,4,2,5,5,19.7,Female,Yes,HR,No
39,34596,2.9,0.3,4,3,5,20,4,2.5,Female,Yes,Sales,No
56,53572,3.6,0.4,4,2,5,15,3,18.1,Female,Yes,Engineering,No
32,98757,6.3,2.0,2,3,5,18,5,0.9,Female,No,Sales,No
39,21279,4.2,2.7,3,2,4,2,3,8.6,Male,No,Engineering,No
32,83197,0.8,1.5,3,2,2,29,1,19.0,Male,No,HR,Yes
29,131496,1.8,3.5,4,4,3,13,6,1.5,Female,No,Support,No
27,82516,9.5,9.5,3,1,5,4,5,27.6,Female,No,HR,No
48,27083,5.9,3.4,1,1,5,10,1,4.8,Male,Yes,Sales,Yes
34,140674,3.3,2.4,1,4,2,31,5,23.3,Male,Yes,Engineering,Yes
51,140307,1.2,1.5,1,3,5,8,0,9.0,Female,Yes,Sales,Yes
39,146457,1.4,1.2,3,4,4,3,2,2.9,Female,Yes,Support,No
36,129397,5.3,0.2,2,2,4,9,1,1.7,Male,No,HR,No
25,37771,7.6,1.0,2,1,5,30,5,2.9,Male,No,Sales,Yes
55,49975,4.5,4.8,2,4,2,11,7,0.8,Female,No,Sales,No
32,65648,6.6,3.3,2,3,2,35,2,1.2,Male,No,Support,Yes
45,145641,5.8,0.5,1,4,2,37,1,0.9,Male,No,Engineering,No
41,68285,0.6,1.3,1,1,1,13,7,4.4,Female,Yes,Sales,Yes
56,39063,2.2,3.4,4,4,5,36,7,12.7,Female,Yes,Support,No
43,87642,0.7,0.1,3,4,2,13,4,1.2,Female,No,Engineering,No
36,110093,1.1,1.0,3,1,4,12,7,1.1,Male,No,Engineering,Yes
59,134390,8.1,3.8,2,2,3,37,5,8.2,Female,Yes,HR,Yes
59,106143,2.6,1.0,1,2,3,10,4,1.8,Male,No,Support,Yes
34,57599,3.1,0.2,2,1,2,9,0,0.8,Female,No,Engineering,Yes
51,71920,0.8,1.6,4,4,3,7,5,1.5,Female,No,HR,No
25,48529,1.5,4.0,3,1,3,2,6,20.6,Male,No,Finance,Yes
55,55954,1.0,1.8,3,2,1,23,7,13.8,Male,No,Support,No
43,47856,0.9,0.5,2,3,4,39,0,3.5,Female,Yes,Finance,Yes
49,22573,4.1,1.0,4,4,4,39,2,8.5,Female,No,Engineering,No
31,98344,1.2,1.2,3,2,1,21,1,6.2,Male,Yes,Support,Yes
38,55367,4.0,1.7,4,4,1,23,7,9.0,Female,No,HR,No
32,122337,0.2,2.8,4,1,3,29,3,9.2,Male,No,Engineering,Yes
29,126732,0.6,0.2,2,3,5,14,0,7.9,Male,No,Support,No
30,119608,1.3,4.4,1,1,3,26,3,2.5,Female,No,Support,Yes
37,80774,3.6,0.0,2,3,1,5,7,0.3,Male,No,Finance,Yes
58,43752,4.5,0.9,1,4,4,31,3,4.9,Male,No,Engineering,No
27,75029,2.3,0.1,4,4,3,25,7,17.7,Male,No,HR,No
33,37685,2.4,1.0,1,1,5,31,1,6.7,Female,No,HR,Yes
29,71693,5.2,1.5,4,3,3,20,2,14.3,Male,No,Engineering,No
47,136739,0.1,1.4,3,3,2,17,1,38.3,Female,Yes,Engineering,Yes
22,75961,1.7,0.4,3,4,3,2,5,1.4,Female,No,Sales,No
25,126937,6.8,2.1,3,1,1,25,0,9.4,Female,No,Finance,No
49,144956,3.7,0.1,2,3,4,13,3,9.0,Male,Yes,Engineering,Yes
57,96908,1.6,2.9,2,4,4,39,1,31.3,Male,Yes,Engineering,No
58,145537,9.4,5.9,4,2,1,28,7,33.9,Female,No,Sales,No
39,146678,5.9,0.8,3,1,2,6,1,9.3,Female,Yes,Sales,Yes
28,94532,1.2,1.5,2,2,1,3,1,2.2,Male,No,Support,Yes
21,101994,4.1,1.0,3,1,3,35,0,12.8,Female,No,HR,Yes
42,76133,3.6,0.0,2,4,1,18,2,0.9,Female,No,Finance,No
37,117425,2.1,1.0,1,3,1,11,6,12.1,Male,Yes,Support,Yes
27,145055,1.8,3.1,1,3,2,20,1,19.3,Female,No,Engineering,Yes
45,81268,1.7,1.8,3,3,3,5,0,3.9,Male,No,Sales,Yes
24,112201,3.8,0.2,4,1,5,19,3,8.0,Male,No,HR,No
56,58243,2.3,3.8,2,4,5,22,7,4.5,Female,No,Support,No
26,77384,7.1,1.5,2,2,4,19,5,4.6,Male,No,HR,Yes
51,51653,4.4,3.7,1,4,1,16,6,3.0,Male,No,Sales,No
39,46657,0.3,1.7,1,2,4,24,4,11.5,Male,No,Support,Yes
59,59952,4.1,1.6,4,1,2,4,6,22.0,Female,No,Support,No
47,42180,1.3,0.2,4,1,5,15,7,22.6,Female,No,HR,Yes
30,117432,3.6,0.4,4,2,1,25,6,1.5,Female,No,Sales,No
46,141829,4.6,7.2,3,2,2,35,7,16.6,Male,Yes,Engineering,No
39,148377,1.0,0.5,1,2,2,14,0,10.7,Male,Yes,Support,Yes
59,98411,2.4,7.6,3,4,1,19,4,2.3,Female,No,Engineering,No
23,21622,0.8,1.5,1,2,2,38,1,0.6,Female,No,Sales,Yes
33,68756,0.2,0.3,1,1,1,36,1,2.5,Male,No,Support,Yes
48,60809,1.9,0.2,2,1,1,7,6,19.5,Female,No,Support,Yes
40,36725,1.8,0.5,1,3,3,30,0,8.0,Female,Yes,Engineering,Yes
48,81396,21.6,5.2,1,2,4,19,4,10.2,Female,No,Finance,Yes
28,71226,2.4,1.1,3,4,2,25,1,2.4,Female,Yes,Engineering,No
59,126296,1.6,1.0,1,4,2,16,3,10.2,Female,No,Engineering,No
21,101182,3.5,0.8,3,4,3,8,2,0.2,Male,No,Finance,No
23,102565,0.4,0.3,4,3,3,18,2,3.8,Female,No,Sales,No
33,49402,13.0,1.3,1,1,3,28,1,7.9,Female,No,Sales,Yes
48,24263,4.0,0.3,1,4,5,16,4,1.3,Male,No,Support,No
45,143489,5.6,3.6,3,1,5,19,5,13.9,Male,No,HR,No
53,116523,0.7,0.9,4,3,5,17,1,2.1,Male,Yes,HR,No
58,66828,2.1,0.9,2,2,1,13,5,8.5,Male,Yes,Support,Yes
26,140824,2.2,1.3,4,2,2,7,5,4.2,Female,No,HR,No
52,67924,6.9,1.2,3,2,4,27,7,7.3,Female,No,Engineering,No
41,94182,0.0,10.5,4,4,1,10,7,0.9,Female,No,Engineering,No
36,113065,1.4,1.6,3,2,2,34,4,0.1,Female,No,Finance,Yes
41,79052,15.9,0.2,3,4,2,36,5,19.2,Male,No,Finance,No
31,31664,2.6,1.9,2,3,3,25,3,2.5,Male,No,Support,No
57,55737,1.9,0.3,1,3,3,6,4,13.7,Female,No,Support,Yes
56,121332,0.5,0.1,3,4,1,24,1,58.7,Female,Yes,Support,Yes
55,109563,14.6,7.1,3,1,3,18,6,1.9,Female,Yes,Engineering,Yes
39,49373,0.1,3.0,2,2,2,23,3,2.5,Female,No,HR,No
40,137369,5.3,7.8,3,2,3,6,0,8.7,Male,Yes,Support,Yes
38,56397,5.9,1.3,1,2,5,29,2,26.9,Female,Yes,Support,Yes
34,148575,1.1,1.5,2,4,3,25,1,19.8,Male,Yes,Engineering,Yes
35,106145,4.5,0.4,1,3,2,17,1,5.6,Male,No,Engineering,Yes
51,121371,0.4,0.6,1,2,1,24,1,12.7,Male,No,Engineering,Yes
21,58709,1.2,3.6,2,3,4,11,3,1.2,Male,No,HR,No
23,136074,6.2,0.9,3,2,3,26,0,30.3,Female,No,Support,No
36,81120,8.0,3.5,1,2,2,34,6,26.7,Female,No,Sales,Yes
43,39250,3.8,2.5,1,4,4,28,4,1.4,Female,No,Sales,No
31,41172,2.8,0.4,1,1,4,3,7,2.8,Female,Yes,Support,Yes
32,31555,0.7,1.4,1,4,5,11,0,0.8,Male,Yes,Support,Yes
30,107410,0.3,2.3,2,2,4,38,3,2.5,Male,No,Support,Yes
52,98617,0.5,0.5,2,2,2,14,1,13.5,Male,No,Support,Yes
36,73276,1.0,3.6,4,1,2,26,2,3.8,Female,No,HR,Yes
28,77492,1.7,1.6,4,3,3,21,1,0.7,Male,No,Sales,No
58,73002,1.9,0.4,1,3,3,39,4,3.4,Male,No,Finance,Yes
32,140103,1.7,1.7,3,2,3,30,5,31.9,Male,Yes,Sales,Yes
44,144938,1.1,16.3,1,3,4,8,2,7.9,Male,Yes,Sales,Yes
48,109599,2.9,0.3,3,2,4,20,1,4.3,Female,Yes,Engineering,No
28,92355,7.0,3.4,1,1,5,32,6,1.5,Male,Yes,Support,Yes
48,111248,1.3,0.5,4,1,3,22,2,34.3,Male,No,Support,Yes
56,44762,11.4,3.1,4,2,1,7,5,13.8,Female,Yes,Support,No
46,31046,8.3,2.7,3,1,5,9,7,2.6,Female,Yes,Engineering,Yes
28,116999,0.7,0.7,1,4,1,1,0,0.6,Female,No,HR,Yes
48,144130,6.2,0.8,3,4,4,29,3,0.5,Male,No,HR,No
48,136021,3.4,3.1,4,1,5,8,7,1.0,Male,Yes,Finance,No
57,48769,3.3,1.2,1,2,5,4,1,7.0,Male,Yes,HR,Yes
56,73302,2.0,2.6,1,2,2,35,4,21.1,Male,No,HR,Yes
47,43150,2.8,0.3,3,1,4,3,0,5.5,Female,No,Support,Yes
37,88247,2.0,3.8,2,3,4,7,7,14.8,Male,No,Sales,No
29,24853,3.1,2.5,3,4,5,27,1,4.7,Male,No,HR,No
53,114613,4.0,4.7,4,3,4,1,0,9.9,Female,No,HR,No
40,140900,4.5,0.3,4,2,5,27,7,10.5,Female,No,Engineering,No
33,109399,3.0,1.8,4,2,2,16,4,1.5,Female,No,Finance,No
48,41792,5.1,1.8,4,3,5,38,1,3.6,Male,No,Engineering,No
49,79129,0.6,0.9,4,1,4,7,5,8.1,Male,Yes,Support,Yes
33,126019,1.0,1.2,2,3,4,23,5,0.6,Male,No,Sales,No
55,94478,6.8,0.1,1,3,5,11,4,3.6,Male,No,Finance,Yes
26,133811,1.6,2.7,3,4,5,33,2,6.1,Male,Yes,Engineering,Yes
38,134130,0.1,1.6,3,4,5,36,4,44.6,Female,No,HR,No
25,87298,0.7,0.1,4,3,3,37,2,5.1,Female,Yes,HR,Yes
45,51987,1.0,2.3,3,3,4,17,1,13.5,Male,No,Finance,No
22,35850,12.6,1.3,4,2,4,35,7,4.5,Male,No,HR,No
30,32112,3.4,0.1,2,4,3,5,2,12.7,Male,No,Engineering,No
50,141789,10.8,7.0,2,4,5,32,1,7.2,Male,No,Engineering,No
25,44058,3.4,6.0,1,2,2,3,1,17.4,Male,Yes,HR,Yes
53,65420,2.6,1.4,2,1,5,35,6,4.2,Female,No,HR,No
21,58890,1.5,0.2,2,4,5,14,3,7.4,Female,No,Support,Yes
38,86017,3.7,2.8,1,4,3,31,1,8.0,Female,No,Sales,Yes
52,67304,0.6,1.4,3,1,4,31,2,4.3,Male,No,Finance,No
31,52921,9.1,0.7,4,4,5,17,3,1.2,Male,No,Engineering,No
41,125921,7.1,1.4,4,4,4,24,3,0.8,Female,No,Finance,No
46,21524,1.5,1.5,3,1,1,23,1,0.1,Female,Yes,Support,Yes
45,120424,12.2,1.7,1,1,4,18,4,16.5,Male,No,Engineering,Yes
42,35048,7.0,1.2,3,3,2,14,4,2.2,Female,No,Support,No
47,55111,4.4,1.9,2,2,2,15,5,1.9,Female,No,Support,No
33,57904,0.5,5.0,1,2,5,15,3,10.7,Male,Yes,HR,Yes
53,74912,2.6,0.9,1,1,4,6,1,3.1,Female,Yes,Finance,Yes
54,54008,2.8,2.6,1,1,5,27,6,5.6,Female,No,Finance,No
55,20060,1.1,4.5,4,4,3,15,4,1.4,Female,No,HR,No
21,94666,0.3,1.2,3,3,2,36,6,25.7,Male,No,Finance,Yes
41,103559,6.0,1.2,1,3,5,8,1,15.3,Female,No,HR,No
26,75337,0.5,1.8,1,1,3,15,1,15.9,Female,No,Engineering,Yes
48,130616,3.6,1.8,1,4,5,3,7,4.2,Female,No,Support,No
37,33350,11.0,3.3,3,4,4,13,3,11.5,Male,Yes,Support,No
25,44354,8.4,1.3,4,2,4,34,7,1.2,Male,No,Finance,No
51,65186,1.3,11.1,2,2,4,24,6,0.1,Female,Yes,Sales,Yes
25,48145,7.6,0.1,4,4,4,32,7,0.2,Male,No,Support,No
58,54020,0.0,0.0,1,2,1,32,5,7.1,Female,No,HR,Yes
23,106123,0.1,2.0,4,1,3,30,3,4.9,Male,No,Sales,Yes
43,126667,3.7,0.7,4,4,3,13,0,5.8,Male,No,Sales,No
57,95186,1.8,0.5,2,2,4,1,7,0.1,Female,No,Support,Yes
57,105469,2.0,0.7,3,3,1,34,6,4.4,Female,No,Support,No
30,40581,3.3,0.6,3,4,4,15,4,10.1,Female,Yes,Support,No
30,108929,0.9,0.1,4,4,1,14,4,4.7,Male,No,HR,No
39,43051,1.0,7.1,4,3,4,29,4,10.5,Female,Yes,Sales,Yes
37,71474,2.7,0.5,3,1,2,34,2,2.1,Male,No,Finance,Yes
41,111748,5.6,2.6,3,3,2,18,1,13.4,Male,Yes,HR,No
34,145995,3.9,2.9,2,4,5,7,3,7.1,Female,Yes,Engineering,Yes
29,134618,1.4,5.3,1,1,4,29,4,1.9,Male,No,Support,Yes
21,89626,2.3,0.1,4,2,3,31,0,2.2,Female,No,Sales,No
33,26960,0.7,4.1,3,2,5,25,4,7.9,Male,No,HR,Yes
24,55772,0.3,1.5,4,2,2,38,5,14.2,Female,Yes,Engineering,Yes
21,41520,6.1,2.0,4,4,4,14,1,4.3,Male,No,HR,No
52,69481,1.2,2.1,3,3,5,8,6,2.4,Male,Yes,HR,No
54,56408,0.8,3.4,2,1,4,27,1,16.1,Female,No,Finance,Yes
48,114006,4.7,0.8,4,2,2,2,7,8.9,Male,No,Finance,No
51,148496,3.8,2.6,2,1,5,17,6,4.8,Female,No,HR,Yes
28,77134,4.0,1.5,3,4,2,37,6,5.4,Male,No,Engineering,No
59,40491,1.0,3.2,1,2,1,14,7,1.8,Male,No,Sales,Yes
46,21341,1.1,9.3,1,4,2,25,3,7.9,Male,No,Sales,Yes
54,64623,1.0,0.4,4,3,4,30,7,3.6,Female,No,Support,No
23,110327,0.8,10.5,3,4,3,29,2,43.5,Female,No,Support,No
32,20338,4.3,0.2,2,4,2,20,6,5.2,Female,No,Sales,No
21,91431,7.5,0.0,4,3,3,21,6,5.3,Female,Yes,HR,No
25,32254,5.2,0.1,3,1,1,22,7,6.7,Female,No,HR,Yes
50,71860,6.3,0.8,3,3,5,35,3,19.9,Male,No,Finance,No
50,31344,2.1,2.0,2,3,5,37,4,12.9,Male,No,Finance,No
37,21750,4.2,0.1,4,4,3,16,5,4.8,Female,Yes,Support,No
43,74756,1.7,0.0,3,1,5,17,0,10.1,Male,Yes,Sales,Yes
35,87957,3.0,5.5,3,2,2,16,3,7.1,Male,No,HR,No
57,125423,2.6,3.5,3,3,3,2,2,5.4,Male,No,Sales,No
41,78053,0.8,3.3,2,1,4,4,3,1.7,Male,Yes,Engineering,Yes
34,90855,2.0,4.3,4,3,2,21,1,5.0,Female,No,Sales,No
22,35896,13.3,2.4,4,3,2,39,4,2.3,Male,No,Engineering,No
31,75761,1.1,0.2,4,3,2,34,4,19.7,Female,No,Finance,No
59,82552,0.6,1.0,4,3,4,30,6,3.3,Female,Yes,Finance,Yes
58,140075,2.2,2.6,1,4,1,6,4,24.3,Male,Yes,Support,No
54,97454,6.2,0.7,1,1,5,17,4,6.1,Female,No,Sales,Yes
58,146522,3.5,2.3,4,1,3,39,7,8.0,Male,Yes,Sales,Yes
54,138681,4.6,0.0,2,1,1,25,4,6.3,Male,Yes,Engineering,Yes
38,110600,0.8,0.7,1,3,3,5,4,1.1,Male,No,Finance,Yes
50,142732,3.9,1.6,3,4,5,5,0,3.8,Female,No,Engineering,No
35,132153,1.6,2.0,1,3,4,20,2,0.8,Female,Yes,Finance,Yes
47,142926,7.2,1.7,3,3,2,16,6,7.8,Female,Yes,Engineering,No
54,47935,4.0,2.4,4,1,2,37,7,4.7,Male,Yes,Finance,Yes
58,57641,0.9,0.0,1,3,4,9,4,12.0,Male,Yes,Engineering,Yes
53,49711,0.3,0.2,2,2,1,5,6,2.0,Male,No,Finance,No
44,90342,0.2,4.1,1,3,1,2,2,1.4,Female,No,Engineering,Yes
35,126896,1.9,2.3,1,2,3,9,7,4.2,Male,No,Sales,Yes
50,32182,1.2,0.2,1,3,4,36,5,20.9,Male,No,Support,Yes
37,107833,4.2,3.7,4,4,1,22,4,9.9,Female,No,Engineering,No
25,76276,2.8,0.6,2,4,4,22,6,4.3,Female,Yes,Support,No
49,39541,1.2,1.3,1,1,5,22,3,5.8,Female,No,Sales,Yes
24,114457,0.6,0.3,2,3,2,34,7,0.7,Male,No,Sales,Yes
30,102310,0.5,2.5,4,2,2,29,7,33.4,Male,No,Finance,No
37,64813,8.0,2.2,3,2,2,38,6,8.8,Male,Yes,Support,Yes
30,57198,1.1,0.5,1,3,4,33,4,2.7,Female,No,HR,Yes
37,28820,4.2,4.0,2,2,4,18,1,7.1,Female,No,Finance,Yes
40,44070,6.7,1.0,2,4,3,7,0,0.9,Female,No,Support,No
44,89768,3.8,0.7,4,2,2,1,3,27.0,Female,Yes,Engineering,Yes
25,31122,7.9,0.3,1,1,3,33,3,1.5,Male,No,Engineering,Yes
54,100559,2.0,0.6,3,4,2,1,1,8.4,Male,No,Sales,No
26,93543,12.5,0.0,2,4,3,24,4,2.3,Male,No,HR,No
22,103441,0.6,1.8,1,4,3,4,7,10.1,Male,No,Engineering,No
33,61786,0.4,3.7,3,3,5,4,7,12.0,Male,Yes,Support,Yes
31,114934,4.3,1.6,2,3,3,18,0,9.0,Male,Yes,Support,No
